WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
1.35,66.8,0,7.70E-02,9.27E-02,1.70E-01,1.22E-02,0.0716,,,,,,,,
1.355,66.8,0,1.42E-03,1.99E-04,1.62E-03,5.31E-05,0.0328,,,,,,,,
1.36,66.8,0,1.50E-08,2.83E-15,1.50E-08,2.76E-16,0,,,,,,,,
1.365,66.8,0,3.62E-08,2.28E-14,3.62E-08,2.22E-15,0,,,,,,,,
1.37,66.8,0,2.39E-07,1.73E-12,2.39E-07,1.68E-13,0,,,,,,,,
1.375,66.8,0,1.67E-03,2.53E-04,1.92E-03,6.44E-05,0.0335,,,,,,,,
1.38,66.8,0,8.36E-05,1.07E-06,8.47E-05,1.81E-06,0.0214,,,,,,,,
1.385,66.8,0,6.30E-05,6.13E-07,6.37E-05,1.34E-06,0.021,,,,,,,,
1.39,66.8,0,1.68E-03,2.76E-04,1.95E-03,6.69E-05,0.0343,,,,,,,,
1.395,66.8,0,3.66E-04,2.08E-05,3.87E-04,9.85E-06,0.0255,,,,,,,,
1.4,66.8,0,1.17E-03,1.68E-04,1.34E-03,4.39E-05,0.0327,,,,,,,,
1.405,66.8,0,4.78E-03,1.89E-03,6.66E-03,3.15E-04,0.0472,,,,,,,,
1.41,66.8,0,2.62E-02,2.48E-02,5.10E-02,3.33E-03,0.0654,,,,,,,,
1.415,66.8,0,1.22E-01,2.02E-01,3.24E-01,2.53E-02,0.078,,,,,,,,
1.42,66.8,0,2.44E-01,4.89E-01,7.33E-01,6.03E-02,0.0822,,,,,,,,
1.425,66.8,0,4.66E-01,1.08E+00,1.54E+00,1.32E-01,0.0855,,,,,,,,
1.43,66.8,0,7.11E-01,1.78E+00,2.49E+00,2.18E-01,0.0873,,,,,,,,
1.435,66.8,0,5.33E-01,1.29E+00,1.83E+00,1.58E-01,0.0866,,,,,,,,
1.44,66.8,0,8.11E-01,2.11E+00,2.92E+00,2.57E-01,0.0882,,,,,,,,
1.445,66.8,0,8.63E-01,2.28E+00,3.15E+00,2.78E-01,0.0885,,,,,,,,
1.45,66.8,0,9.58E-01,2.59E+00,3.55E+00,3.16E-01,0.089,,,,,,,,
1.455,66.8,0,2.86E+00,8.65E+00,1.15E+01,1.07E+00,0.093,,,,,,,,
1.46,66.8,0,2.88E+00,8.77E+00,1.17E+01,1.08E+00,0.0931,,,,,,,,
1.465,66.8,0,1.88E+00,5.57E+00,7.45E+00,6.82E-01,0.0915,,,,,,,,
1.47,66.8,0,8.90E-01,2.46E+00,3.35E+00,2.99E-01,0.0891,,,,,,,,
1.475,66.8,0,3.10E+00,9.63E+00,1.27E+01,1.19E+00,0.0935,,,,,,,,
1.48,66.8,0,2.55E+00,7.93E+00,1.05E+01,9.74E-01,0.0929,,,,,,,,
1.485,66.8,0,3.40E+00,1.08E+01,1.42E+01,1.34E+00,0.0942,,,,,,,,
1.49,66.8,0,7.94E+00,2.56E+01,3.35E+01,3.27E+00,0.0976,,,,,,,,
1.495,66.8,0,1.07E+01,3.45E+01,4.52E+01,4.47E+00,0.099,,,,,,,,
1.5,66.8,0,1.52E+01,4.87E+01,6.38E+01,6.44E+00,0.101,,,,,,,,
1.505,66.8,0,1.53E+01,4.93E+01,6.46E+01,6.53E+00,0.1012,,,,,,,,
1.51,66.8,0,1.71E+01,5.50E+01,7.22E+01,7.36E+00,0.102,,,,,,,,
1.515,66.8,0,1.80E+01,5.77E+01,7.57E+01,7.74E+00,0.1023,,,,,,,,
1.52,66.8,0,1.99E+01,6.40E+01,8.38E+01,8.61E+00,0.1027,,,,,,,,
1.525,66.8,0,2.01E+01,6.48E+01,8.49E+01,8.73E+00,0.1028,,,,,,,,
1.53,66.8,0,2.05E+01,6.65E+01,8.70E+01,8.96E+00,0.103,,,,,,,,
1.535,66.8,0,2.05E+01,6.66E+01,8.71E+01,8.99E+00,0.1032,,,,,,,,
1.54,66.8,0,2.06E+01,6.71E+01,8.77E+01,9.06E+00,0.1033,,,,,,,,
1.545,66.8,0,2.10E+01,6.85E+01,8.95E+01,9.25E+00,0.1034,,,,,,,,
1.55,66.8,0,2.12E+01,6.94E+01,9.06E+01,9.37E+00,0.1034,,,,,,,,
1.555,66.8,0,2.11E+01,6.95E+01,9.06E+01,9.38E+00,0.1034,,,,,,,,
1.56,66.8,0,2.09E+01,6.90E+01,8.99E+01,9.30E+00,0.1034,,,,,,,,
1.565,66.8,0,2.00E+01,6.64E+01,8.64E+01,8.92E+00,0.1032,,,,,,,,
1.57,66.8,0,1.78E+01,5.97E+01,7.75E+01,7.97E+00,0.1029,,,,,,,,
1.575,66.8,0,1.80E+01,6.03E+01,7.82E+01,8.05E+00,0.1029,,,,,,,,
1.58,66.8,0,1.83E+01,6.15E+01,7.97E+01,8.21E+00,0.103,,,,,,,,
1.585,66.8,0,1.89E+01,6.38E+01,8.27E+01,8.53E+00,0.1031,,,,,,,,
1.59,66.8,0,1.88E+01,6.35E+01,8.23E+01,8.48E+00,0.1031,,,,,,,,
1.595,66.8,0,1.81E+01,6.16E+01,7.97E+01,8.21E+00,0.1029,,,,,,,,
1.6,66.8,0,1.70E+01,5.83E+01,7.53E+01,7.73E+00,0.1027,,,,,,,,
1.605,66.8,0,1.67E+01,5.76E+01,7.43E+01,7.63E+00,0.1027,,,,,,,,
1.61,66.8,0,1.66E+01,5.74E+01,7.40E+01,7.59E+00,0.1026,,,,,,,,
1.615,66.8,0,1.75E+01,6.04E+01,7.79E+01,8.00E+00,0.1028,,,,,,,,
1.62,66.8,0,1.79E+01,6.22E+01,8.02E+01,8.25E+00,0.1029,,,,,,,,
1.625,66.8,0,1.82E+01,6.32E+01,8.14E+01,8.38E+00,0.103,,,,,,,,
1.63,66.8,0,1.79E+01,6.27E+01,8.07E+01,8.29E+00,0.1028,,,,,,,,
1.635,66.8,0,1.74E+01,6.14E+01,7.88E+01,8.09E+00,0.1027,,,,,,,,
1.64,66.8,0,1.68E+01,5.94E+01,7.62E+01,7.81E+00,0.1026,,,,,,,,
1.645,66.8,0,1.65E+01,5.86E+01,7.51E+01,7.69E+00,0.1024,,,,,,,,
1.65,66.8,0,1.64E+01,5.85E+01,7.49E+01,7.66E+00,0.1024,,,,,,,,
1.655,66.8,0,1.64E+01,5.89E+01,7.53E+01,7.71E+00,0.1023,,,,,,,,
1.66,66.8,0,1.64E+01,5.91E+01,7.55E+01,7.72E+00,0.1023,,,,,,,,
1.665,66.8,0,1.61E+01,5.82E+01,7.43E+01,7.60E+00,0.1022,,,,,,,,
1.67,66.8,0,1.62E+01,5.87E+01,7.49E+01,7.67E+00,0.1023,,,,,,,,
1.675,66.8,0,1.58E+01,5.75E+01,7.33E+01,7.49E+00,0.1022,,,,,,,,
1.68,66.8,0,1.56E+01,5.70E+01,7.26E+01,7.42E+00,0.1022,,,,,,,,
1.685,66.8,0,1.54E+01,5.66E+01,7.20E+01,7.35E+00,0.1021,,,,,,,,
1.69,66.8,0,1.50E+01,5.53E+01,7.03E+01,7.16E+00,0.1019,,,,,,,,
1.695,66.8,0,1.47E+01,5.46E+01,6.93E+01,7.06E+00,0.1018,,,,,,,,
1.7,66.8,0,1.46E+01,5.44E+01,6.89E+01,7.01E+00,0.1017,,,,,,,,
1.705,66.8,0,1.42E+01,5.33E+01,6.74E+01,6.85E+00,0.1016,,,,,,,,
1.71,66.8,0,1.36E+01,5.15E+01,6.51E+01,6.60E+00,0.1014,,,,,,,,
1.715,66.8,0,1.34E+01,5.10E+01,6.45E+01,6.53E+00,0.1013,,,,,,,,
1.72,66.8,0,1.30E+01,4.95E+01,6.25E+01,6.32E+00,0.1011,,,,,,,,
1.725,66.8,0,1.21E+01,4.66E+01,5.88E+01,5.93E+00,0.1009,,,,,,,,
1.73,66.8,0,1.18E+01,4.56E+01,5.75E+01,5.80E+00,0.1009,,,,,,,,
1.735,66.8,0,1.08E+01,4.18E+01,5.26E+01,5.29E+00,0.1005,,,,,,,,
1.74,66.8,0,1.04E+01,4.06E+01,5.10E+01,5.11E+00,0.1003,,,,,,,,
1.745,66.8,0,9.96E+00,3.91E+01,4.91E+01,4.92E+00,0.1002,,,,,,,,
1.75,66.8,0,9.80E+00,3.87E+01,4.85E+01,4.85E+00,0.1001,,,,,,,,
1.755,66.8,0,9.37E+00,3.72E+01,4.66E+01,4.65E+00,0.0998,,,,,,,,
1.76,66.8,0,9.21E+00,3.68E+01,4.60E+01,4.58E+00,0.0996,,,,,,,,
1.765,66.8,0,7.69E+00,3.12E+01,3.89E+01,3.84E+00,0.0987,,,,,,,,
1.77,66.8,0,7.21E+00,2.94E+01,3.67E+01,3.60E+00,0.0983,,,,,,,,
1.775,66.8,0,5.52E+00,2.28E+01,2.83E+01,2.75E+00,0.0971,,,,,,,,
1.78,66.8,0,4.39E+00,1.83E+01,2.27E+01,2.18E+00,0.0963,,,,,,,,
1.785,66.8,0,3.89E+00,1.62E+01,2.01E+01,1.93E+00,0.0958,,,,,,,,
1.79,66.8,0,3.10E+00,1.30E+01,1.61E+01,1.52E+00,0.0947,,,,,,,,
1.795,66.8,0,1.71E+00,7.12E+00,8.83E+00,8.21E-01,0.093,,,,,,,,
1.8,66.8,0,5.58E-01,2.43E+00,2.99E+00,2.62E-01,0.0879,,,,,,,,
1.805,66.8,0,2.24E-01,8.50E-01,1.07E+00,9.15E-02,0.0852,,,,,,,,
1.81,66.8,0,5.15E-02,1.46E-01,1.98E-01,1.58E-02,0.0802,,,,,,,,
1.815,66.8,0,8.80E-03,1.47E-02,2.35E-02,1.66E-03,0.0707,,,,,,,,
1.82,66.8,0,2.51E-03,2.57E-03,5.08E-03,3.11E-04,0.0611,,,,,,,,
1.825,66.8,0,3.56E-04,1.24E-04,4.80E-04,1.97E-05,0.041,,,,,,,,
1.83,66.8,0,2.24E-05,1.02E-06,2.34E-05,5.31E-07,0.0227,,,,,,,,
1.835,66.8,0,1.01E-09,1.78E-16,1.01E-09,1.67E-17,0,,,,,,,,
1.84,66.8,0,2.82E-09,2.03E-15,2.82E-09,1.90E-16,0,,,,,,,,
1.845,66.8,0,2.23E-06,9.62E-09,2.24E-06,4.21E-08,0.0188,,,,,,,,
1.85,66.8,0,4.78E-09,7.37E-15,4.78E-09,6.89E-16,0,,,,,,,,
1.855,66.8,0,4.37E-09,6.29E-15,4.37E-09,5.87E-16,0,,,,,,,,
1.86,66.8,0,4.52E-06,4.70E-08,4.57E-06,8.88E-08,0.0194,,,,,,,,
1.865,66.8,0,7.19E-06,1.18E-07,7.31E-06,1.46E-07,0.02,,,,,,,,
1.87,66.8,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,NaN,,,,,,,,
1.875,66.8,0,1.06E-09,2.89E-16,1.06E-09,2.69E-17,0,,,,,,,,
1.88,66.8,0,3.92E-05,3.66E-06,4.29E-05,1.11E-06,0.0259,,,,,,,,
1.885,66.8,0,1.13E-04,2.33E-05,1.36E-04,4.54E-06,0.0334,,,,,,,,
1.89,66.8,0,9.48E-05,1.84E-05,1.13E-04,3.69E-06,0.0326,,,,,,,,
1.895,66.8,0,4.20E-05,4.65E-06,4.67E-05,1.26E-06,0.027,,,,,,,,
1.9,66.8,0,2.27E-08,3.45E-13,2.27E-08,3.21E-14,0,,,,,,,,
1.905,66.8,0,9.98E-06,3.41E-07,1.03E-05,2.20E-07,0.0213,,,,,,,,
1.91,66.8,0,2.04E-05,1.34E-06,2.17E-05,5.16E-07,0.0238,,,,,,,,
1.915,66.8,0,5.99E-05,9.90E-06,6.98E-05,2.12E-06,0.0303,,,,,,,,
1.92,66.8,0,7.30E-04,5.62E-04,1.29E-03,7.02E-05,0.0543,,,,,,,,
1.925,66.8,0,1.77E-03,2.11E-03,3.88E-03,2.44E-04,0.0629,,,,,,,,
1.93,66.8,0,3.79E-03,6.28E-03,1.01E-02,6.97E-04,0.0692,,,,,,,,
1.935,66.8,0,2.35E-02,7.01E-02,9.36E-02,7.42E-03,0.0793,,,,,,,,
1.94,66.8,0,5.51E-02,2.03E-01,2.59E-01,2.13E-02,0.0825,,,,,,,,
1.945,66.8,0,1.11E-01,4.78E-01,5.89E-01,5.00E-02,0.0848,,,,,,,,
1.95,66.8,0,2.58E-01,1.29E+00,1.55E+00,1.35E-01,0.0873,,,,,,,,
1.955,66.8,0,2.70E-01,1.39E+00,1.66E+00,1.46E-01,0.0878,,,,,,,,
1.96,66.8,0,3.97E-01,2.13E+00,2.53E+00,2.24E-01,0.0886,,,,,,,,
1.965,66.8,0,1.11E+00,6.34E+00,7.45E+00,6.78E-01,0.0911,,,,,,,,
1.97,66.8,0,1.70E+00,9.79E+00,1.15E+01,1.06E+00,0.0921,,,,,,,,
1.975,66.8,0,2.36E+00,1.37E+01,1.60E+01,1.49E+00,0.0928,,,,,,,,
1.98,66.8,0,2.80E+00,1.63E+01,1.91E+01,1.78E+00,0.0932,,,,,,,,
1.985,66.8,0,3.19E+00,1.86E+01,2.18E+01,2.04E+00,0.0936,,,,,,,,
1.99,66.8,0,3.21E+00,1.88E+01,2.20E+01,2.06E+00,0.0936,,,,,,,,
1.995,66.8,0,2.66E+00,1.57E+01,1.83E+01,1.71E+00,0.0934,,,,,,,,
2,66.8,0,1.28E+00,7.65E+00,8.93E+00,8.22E-01,0.0921,,,,,,,,
2.005,66.8,0,6.20E-01,3.71E+00,4.33E+00,3.94E-01,0.0909,,,,,,,,
2.01,66.8,0,8.08E-01,4.88E+00,5.69E+00,5.20E-01,0.0914,,,,,,,,
2.015,66.8,0,9.37E-01,5.69E+00,6.62E+00,6.06E-01,0.0915,,,,,,,,
2.02,66.8,0,1.50E+00,9.09E+00,1.06E+01,9.79E-01,0.0925,,,,,,,,
2.025,66.8,0,2.85E+00,1.72E+01,2.00E+01,1.88E+00,0.0938,,,,,,,,
2.03,66.8,0,3.36E+00,2.02E+01,2.36E+01,2.22E+00,0.0941,,,,,,,,
2.035,66.8,0,3.78E+00,2.26E+01,2.64E+01,2.50E+00,0.0945,,,,,,,,
2.04,66.8,0,3.67E+00,2.21E+01,2.58E+01,2.43E+00,0.0944,,,,,,,,
2.045,66.8,0,3.22E+00,1.96E+01,2.28E+01,2.14E+00,0.0941,,,,,,,,
2.05,66.8,0,2.47E+00,1.51E+01,1.76E+01,1.65E+00,0.0936,,,,,,,,
2.055,66.8,0,2.12E+00,1.31E+01,1.52E+01,1.42E+00,0.0932,,,,,,,,
2.06,66.8,0,2.31E+00,1.43E+01,1.66E+01,1.55E+00,0.0933,,,,,,,,
2.065,66.8,0,2.28E+00,1.42E+01,1.64E+01,1.53E+00,0.0932,,,,,,,,
2.07,66.8,0,2.42E+00,1.51E+01,1.75E+01,1.63E+00,0.0933,,,,,,,,
2.075,66.8,0,3.12E+00,1.94E+01,2.25E+01,2.11E+00,0.0938,,,,,,,,
2.08,66.8,0,3.41E+00,2.12E+01,2.46E+01,2.31E+00,0.094,,,,,,,,
2.085,66.8,0,3.52E+00,2.19E+01,2.55E+01,2.40E+00,0.0941,,,,,,,,
2.09,66.8,0,3.69E+00,2.30E+01,2.67E+01,2.51E+00,0.0941,,,,,,,,
2.095,66.8,0,3.67E+00,2.30E+01,2.66E+01,2.50E+00,0.0941,,,,,,,,
2.1,66.8,0,3.64E+00,2.29E+01,2.65E+01,2.49E+00,0.094,,,,,,,,
2.105,66.8,0,3.69E+00,2.33E+01,2.70E+01,2.53E+00,0.094,,,,,,,,
2.11,66.8,0,3.64E+00,2.31E+01,2.67E+01,2.51E+00,0.094,,,,,,,,
2.115,66.8,0,3.53E+00,2.25E+01,2.60E+01,2.44E+00,0.0939,,,,,,,,
2.12,66.8,0,3.48E+00,2.22E+01,2.57E+01,2.41E+00,0.0938,,,,,,,,
2.125,66.8,0,3.53E+00,2.26E+01,2.61E+01,2.45E+00,0.0938,,,,,,,,
2.13,66.8,0,3.65E+00,2.35E+01,2.71E+01,2.55E+00,0.0939,,,,,,,,
2.135,66.8,0,3.66E+00,2.36E+01,2.72E+01,2.56E+00,0.0938,,,,,,,,
2.14,66.8,0,3.61E+00,2.34E+01,2.70E+01,2.53E+00,0.0938,,,,,,,,
2.145,66.8,0,3.43E+00,2.24E+01,2.58E+01,2.41E+00,0.0936,,,,,,,,
2.15,66.8,0,3.15E+00,2.07E+01,2.39E+01,2.22E+00,0.0932,,,,,,,,
2.155,66.8,0,3.02E+00,1.99E+01,2.29E+01,2.13E+00,0.0931,,,,,,,,
2.16,66.8,0,3.03E+00,2.01E+01,2.31E+01,2.15E+00,0.093,,,,,,,,
2.165,66.8,0,3.04E+00,2.03E+01,2.33E+01,2.17E+00,0.093,,,,,,,,
2.17,66.8,0,3.03E+00,2.03E+01,2.33E+01,2.16E+00,0.0929,,,,,,,,
2.175,66.8,0,2.94E+00,1.98E+01,2.27E+01,2.11E+00,0.0928,,,,,,,,
2.18,66.8,0,2.80E+00,1.89E+01,2.17E+01,2.01E+00,0.0926,,,,,,,,
2.185,66.8,0,2.71E+00,1.84E+01,2.11E+01,1.95E+00,0.0925,,,,,,,,
2.19,66.8,0,2.72E+00,1.85E+01,2.13E+01,1.97E+00,0.0924,,,,,,,,
2.195,66.8,0,2.63E+00,1.80E+01,2.06E+01,1.91E+00,0.0923,,,,,,,,
2.2,66.8,0,2.51E+00,1.73E+01,1.98E+01,1.83E+00,0.0922,,,,,,,,
2.205,66.8,0,2.64E+00,1.82E+01,2.08E+01,1.92E+00,0.0922,,,,,,,,
2.21,66.8,0,2.88E+00,1.99E+01,2.28E+01,2.10E+00,0.0922,,,,,,,,
2.215,66.8,0,2.90E+00,2.01E+01,2.30E+01,2.12E+00,0.0922,,,,,,,,
2.22,66.8,0,2.89E+00,2.02E+01,2.31E+01,2.13E+00,0.0921,,,,,,,,
2.225,66.8,0,2.88E+00,2.02E+01,2.31E+01,2.13E+00,0.092,,,,,,,,
2.23,66.8,0,2.84E+00,2.00E+01,2.28E+01,2.10E+00,0.092,,,,,,,,
2.235,66.8,0,2.77E+00,1.96E+01,2.24E+01,2.05E+00,0.0918,,,,,,,,
2.24,66.8,0,2.70E+00,1.92E+01,2.19E+01,2.01E+00,0.0917,,,,,,,,
2.245,66.8,0,2.64E+00,1.89E+01,2.15E+01,1.97E+00,0.0916,,,,,,,,
2.25,66.8,0,2.58E+00,1.85E+01,2.11E+01,1.93E+00,0.0914,,,,,,,,
2.255,66.8,0,2.49E+00,1.80E+01,2.05E+01,1.87E+00,0.0913,,,,,,,,
2.26,66.8,0,2.42E+00,1.76E+01,2.00E+01,1.83E+00,0.0911,,,,,,,,
2.265,66.8,0,2.40E+00,1.75E+01,1.99E+01,1.81E+00,0.091,,,,,,,,
2.27,66.8,0,2.36E+00,1.73E+01,1.97E+01,1.79E+00,0.0909,,,,,,,,
2.275,66.8,0,2.35E+00,1.73E+01,1.97E+01,1.79E+00,0.0908,,,,,,,,
2.28,66.8,0,2.34E+00,1.73E+01,1.97E+01,1.78E+00,0.0907,,,,,,,,
2.285,66.8,0,2.28E+00,1.70E+01,1.93E+01,1.74E+00,0.0905,,,,,,,,
2.29,66.8,0,2.17E+00,1.63E+01,1.84E+01,1.67E+00,0.0903,,,,,,,,
2.295,66.8,0,2.06E+00,1.55E+01,1.76E+01,1.58E+00,0.0901,,,,,,,,
2.3,66.8,0,2.01E+00,1.52E+01,1.72E+01,1.55E+00,0.09,,,,,,,,
2.305,66.8,0,2.03E+00,1.54E+01,1.74E+01,1.57E+00,0.0899,,,,,,,,
2.31,66.8,0,1.90E+00,1.45E+01,1.64E+01,1.47E+00,0.0897,,,,,,,,
2.315,66.8,0,1.63E+00,1.25E+01,1.42E+01,1.27E+00,0.0894,,,,,,,,
2.32,66.8,0,1.54E+00,1.20E+01,1.35E+01,1.20E+00,0.0892,,,,,,,,
2.325,66.8,0,1.53E+00,1.19E+01,1.34E+01,1.20E+00,0.0891,,,,,,,,
2.33,66.8,0,1.56E+00,1.22E+01,1.38E+01,1.23E+00,0.089,,,,,,,,
2.335,66.8,0,1.46E+00,1.15E+01,1.30E+01,1.15E+00,0.0887,,,,,,,,
2.34,66.8,0,1.36E+00,1.08E+01,1.22E+01,1.07E+00,0.0882,,,,,,,,
2.345,66.8,0,1.33E+00,1.07E+01,1.20E+01,1.06E+00,0.0879,,,,,,,,
2.35,66.8,0,1.35E+00,1.09E+01,1.23E+01,1.08E+00,0.0877,,,,,,,,
2.355,66.8,0,1.44E+00,1.17E+01,1.32E+01,1.15E+00,0.0876,,,,,,,,
2.36,66.8,0,1.52E+00,1.23E+01,1.39E+01,1.21E+00,0.0875,,,,,,,,
2.365,66.8,0,1.33E+00,1.10E+01,1.23E+01,1.07E+00,0.0871,,,,,,,,
2.37,66.8,0,1.14E+00,9.45E+00,1.06E+01,9.18E-01,0.0866,,,,,,,,
2.375,66.8,0,1.08E+00,8.98E+00,1.01E+01,8.69E-01,0.0864,,,,,,,,
2.38,66.8,0,9.98E-01,8.36E+00,9.36E+00,8.06E-01,0.0861,,,,,,,,
2.385,66.8,0,9.32E-01,7.85E+00,8.78E+00,7.54E-01,0.0858,,,,,,,,
2.39,66.8,0,9.53E-01,8.08E+00,9.03E+00,7.74E-01,0.0857,,,,,,,,
2.395,66.8,0,9.62E-01,8.20E+00,9.16E+00,7.84E-01,0.0856,,,,,,,,
2.4,66.8,0,9.27E-01,7.95E+00,8.88E+00,7.57E-01,0.0853,,,,,,,,
2.405,66.8,0,8.02E-01,6.91E+00,7.71E+00,6.54E-01,0.0848,,,,,,,,
2.41,66.8,0,6.64E-01,5.73E+00,6.40E+00,5.39E-01,0.0842,,,,,,,,
2.415,66.8,0,6.19E-01,5.36E+00,5.98E+00,5.02E-01,0.0839,,,,,,,,
2.42,66.8,0,6.91E-01,6.03E+00,6.72E+00,5.64E-01,0.0839,,,,,,,,
2.425,66.8,0,7.55E-01,6.65E+00,7.40E+00,6.20E-01,0.0838,,,,,,,,
