1.23E+00,,,,,,,,
6.07E+00,,,,,,,,
3.67E+01,,,,,,,,
5.42E+01,,,,,,,,
7.78E+01,,,,,,,,
1.72E+02,,,,,,,,
1.36E+02,,,,,,,,
1.83E+02,,,,,,,,
1.72E+02,,,,,,,,
1.91E+02,,,,,,,,
1.82E+02,,,,,,,,
1.88E+02,,,,,,,,
1.99E+02,,,,,,,,
2.11E+02,,,,,,,,
1.84E+02,,,,,,,,
2.04E+02,,,,,,,,
1.87E+02,,,,,,,,
2.59E+02,,,,,,,,
2.64E+02,,,,,,,,
3.21E+02,,,,,,,,
3.24E+02,,,,,,,,
3.14E+02,,,,,,,,
3.51E+02,,,,,,,,
3.55E+02,,,,,,,,
3.62E+02,,,,,,,,
2.65E+02,,,,,,,,
3.58E+02,,,,,,,,
3.84E+02,,,,,,,,
4.16E+02,,,,,,,,
4.62E+02,,,,,,,,
4.46E+02,,,,,,,,
4.55E+02,,,,,,,,
4.56E+02,,,,,,,,
4.38E+02,,,,,,,,
4.63E+02,,,,,,,,
4.69E+02,,,,,,,,
4.44E+02,,,,,,,,
4.67E+02,,,,,,,,
4.70E+02,,,,,,,,
4.55E+02,,,,,,,,
4.54E+02,,,,,,,,
4.56E+02,,,,,,,,
4.53E+02,,,,,,,,
4.37E+02,,,,,,,,
4.67E+02,,,,,,,,
4.58E+02,,,,,,,,
4.57E+02,,,,,,,,
4.26E+02,,,,,,,,
4.52E+02,,,,,,,,
4.49E+02,,,,,,,,
4.54E+02,,,,,,,,
4.34E+02,,,,,,,,
4.30E+02,,,,,,,,
4.07E+02,,,,,,,,
4.15E+02,,,,,,,,
4.23E+02,,,,,,,,
4.31E+02,,,,,,,,
3.64E+02,,,,,,,,
3.87E+02,,,,,,,,
4.14E+02,,,,,,,,
4.28E+02,,,,,,,,
4.21E+02,,,,,,,,
4.24E+02,,,,,,,,
4.26E+02,,,,,,,,
4.06E+02,,,,,,,,
3.98E+02,,,,,,,,
4.12E+02,,,,,,,,
4.19E+02,,,,,,,,
4.18E+02,,,,,,,,
4.02E+02,,,,,,,,
3.84E+02,,,,,,,,
4.16E+02,,,,,,,,
4.21E+02,,,,,,,,
4.19E+02,,,,,,,,
4.17E+02,,,,,,,,
4.15E+02,,,,,,,,
4.05E+02,,,,,,,,
3.40E+02,,,,,,,,
3.49E+02,,,,,,,,
3.49E+02,,,,,,,,
3.63E+02,,,,,,,,
3.65E+02,,,,,,,,
3.58E+02,,,,,,,,
2.32E+02,,,,,,,,
2.80E+02,,,,,,,,
2.86E+02,,,,,,,,
3.43E+02,,,,,,,,
3.51E+02,,,,,,,,
3.72E+02,,,,,,,,
3.71E+02,,,,,,,,
3.71E+02,,,,,,,,
6.82E+01,,,,,,,,
1.93E+02,,,,,,,,
3.53E+02,,,,,,,,
3.57E+02,,,,,,,,
3.56E+02,,,,,,,,
3.52E+02,,,,,,,,
3.23E+02,,,,,,,,
3.27E+02,,,,,,,,
3.19E+02,,,,,,,,
3.22E+02,,,,,,,,
3.15E+02,,,,,,,,
2.65E+02,,,,,,,,
2.66E+02,,,,,,,,
2.92E+02,,,,,,,,
2.79E+02,,,,,,,,
2.95E+02,,,,,,,,
2.99E+02,,,,,,,,
3.07E+02,,,,,,,,
2.93E+02,,,,,,,,
2.71E+02,,,,,,,,
3.06E+02,,,,,,,,
2.97E+02,,,,,,,,
3.02E+02,,,,,,,,
3.03E+02,,,,,,,,
2.94E+02,,,,,,,,
2.92E+02,,,,,,,,
2.87E+02,,,,,,,,
2.33E+02,,,,,,,,
1.64E+02,,,,,,,,
2.16E+02,,,,,,,,
1.59E+02,,,,,,,,
1.62E+02,,,,,,,,
2.07E+02,,,,,,,,
1.83E+02,,,,,,,,
1.03E+02,,,,,,,,
2.44E+01,,,,,,,,
1.02E+02,,,,,,,,
5.43E+01,,,,,,,,
6.88E+01,,,,,,,,
8.01E+01,,,,,,,,
1.08E+02,,,,,,,,
1.29E+02,,,,,,,,
1.90E+02,,,,,,,,
1.57E+02,,,,,,,,
1.99E+02,,,,,,,,
2.22E+02,,,,,,,,
2.33E+02,,,,,,,,
2.37E+02,,,,,,,,
2.32E+02,,,,,,,,
2.29E+02,,,,,,,,
2.22E+02,,,,,,,,
2.28E+02,,,,,,,,
2.21E+02,,,,,,,,
2.20E+02,,,,,,,,
2.20E+02,,,,,,,,
2.19E+02,,,,,,,,
2.18E+02,,,,,,,,
2.17E+02,,,,,,,,
2.12E+02,,,,,,,,
2.04E+02,,,,,,,,
1.99E+02,,,,,,,,
1.95E+02,,,,,,,,
1.92E+02,,,,,,,,
1.89E+02,,,,,,,,
1.77E+02,,,,,,,,
1.66E+02,,,,,,,,
1.64E+02,,,,,,,,
1.47E+02,,,,,,,,
1.11E+02,,,,,,,,
1.05E+02,,,,,,,,
1.03E+02,,,,,,,,
5.16E+01,,,,,,,,
9.58E+00,,,,,,,,
7.35E+00,,,,,,,,
2.24E+01,,,,,,,,
4.80E+00,,,,,,,,
3.73E+01,,,,,,,,
1.53E+01,,,,,,,,
2.90E+01,,,,,,,,
4.52E+01,,,,,,,,
9.36E+01,,,,,,,,
1.21E+02,,,,,,,,
1.27E+02,,,,,,,,
1.32E+02,,,,,,,,
BY,THIS,CHANGE,IS,NOT,"GOOD,",PLEASE,CHANGE,NSTR
1.25E+02,,,,,,,,
BY,THIS,CHANGE,IS,NOT,"GOOD,",PLEASE,CHANGE,NSTR
1.24E+02,,,,,,,,
1.29E+02,,,,,,,,
1.29E+02,,,,,,,,
1.24E+02,,,,,,,,
1.30E+02,,,,,,,,
1.28E+02,,,,,,,,
1.33E+02,,,,,,,,
1.42E+02,,,,,,,,
1.42E+02,,,,,,,,
1.49E+02,,,,,,,,
1.52E+02,,,,,,,,
1.52E+02,,,,,,,,
1.48E+02,,,,,,,,
1.45E+02,,,,,,,,
1.40E+02,,,,,,,,
1.26E+02,,,,,,,,
1.12E+02,,,,,,,,
1.10E+02,,,,,,,,
1.23E+02,,,,,,,,
1.26E+02,,,,,,,,
1.28E+02,,,,,,,,
1.22E+02,,,,,,,,
1.20E+02,,,,,,,,
1.12E+02,,,,,,,,
1.00E+02,,,,,,,,
8.75E+01,,,,,,,,
7.34E+01,,,,,,,,
5.65E+01,,,,,,,,
6.34E+01,,,,,,,,
2.09E+01,,,,,,,,
2.62E+01,,,,,,,,
3.06E+01,,,,,,,,
7.41E+00,,,,,,,,
1.70E-01,,,,,,,,
1.62E-03,,,,,,,,
1.50E-08,,,,,,,,
3.62E-08,,,,,,,,
2.39E-07,,,,,,,,
1.92E-03,,,,,,,,
8.47E-05,,,,,,,,
6.37E-05,,,,,,,,
1.95E-03,,,,,,,,
3.87E-04,,,,,,,,
1.34E-03,,,,,,,,
6.66E-03,,,,,,,,
5.10E-02,,,,,,,,
3.24E-01,,,,,,,,
7.33E-01,,,,,,,,
1.54E+00,,,,,,,,
2.49E+00,,,,,,,,
1.83E+00,,,,,,,,
2.92E+00,,,,,,,,
3.15E+00,,,,,,,,
3.55E+00,,,,,,,,
1.15E+01,,,,,,,,
1.17E+01,,,,,,,,
7.45E+00,,,,,,,,
3.35E+00,,,,,,,,
1.27E+01,,,,,,,,
1.05E+01,,,,,,,,
1.42E+01,,,,,,,,
3.35E+01,,,,,,,,
4.52E+01,,,,,,,,
6.38E+01,,,,,,,,
6.46E+01,,,,,,,,
7.22E+01,,,,,,,,
7.57E+01,,,,,,,,
8.38E+01,,,,,,,,
8.49E+01,,,,,,,,
8.70E+01,,,,,,,,
8.71E+01,,,,,,,,
8.77E+01,,,,,,,,
8.95E+01,,,,,,,,
9.06E+01,,,,,,,,
9.06E+01,,,,,,,,
8.99E+01,,,,,,,,
8.64E+01,,,,,,,,
7.75E+01,,,,,,,,
7.82E+01,,,,,,,,
7.97E+01,,,,,,,,
8.27E+01,,,,,,,,
8.23E+01,,,,,,,,
7.97E+01,,,,,,,,
7.53E+01,,,,,,,,
7.43E+01,,,,,,,,
7.40E+01,,,,,,,,
7.79E+01,,,,,,,,
8.02E+01,,,,,,,,
8.14E+01,,,,,,,,
8.07E+01,,,,,,,,
7.88E+01,,,,,,,,
7.62E+01,,,,,,,,
7.51E+01,,,,,,,,
7.49E+01,,,,,,,,
7.53E+01,,,,,,,,
7.55E+01,,,,,,,,
7.43E+01,,,,,,,,
7.49E+01,,,,,,,,
7.33E+01,,,,,,,,
7.26E+01,,,,,,,,
7.20E+01,,,,,,,,
7.03E+01,,,,,,,,
6.93E+01,,,,,,,,
6.89E+01,,,,,,,,
6.74E+01,,,,,,,,
6.51E+01,,,,,,,,
6.45E+01,,,,,,,,
6.25E+01,,,,,,,,
5.88E+01,,,,,,,,
5.75E+01,,,,,,,,
5.26E+01,,,,,,,,
5.10E+01,,,,,,,,
4.91E+01,,,,,,,,
4.85E+01,,,,,,,,
4.66E+01,,,,,,,,
4.60E+01,,,,,,,,
3.89E+01,,,,,,,,
3.67E+01,,,,,,,,
2.83E+01,,,,,,,,
2.27E+01,,,,,,,,
2.01E+01,,,,,,,,
1.61E+01,,,,,,,,
8.83E+00,,,,,,,,
2.99E+00,,,,,,,,
1.07E+00,,,,,,,,
1.98E-01,,,,,,,,
2.35E-02,,,,,,,,
5.08E-03,,,,,,,,
4.80E-04,,,,,,,,
2.34E-05,,,,,,,,
1.01E-09,,,,,,,,
2.82E-09,,,,,,,,
2.24E-06,,,,,,,,
4.78E-09,,,,,,,,
4.37E-09,,,,,,,,
4.57E-06,,,,,,,,
7.31E-06,,,,,,,,
0.00E+00,,,,,,,,
1.06E-09,,,,,,,,
4.29E-05,,,,,,,,
1.36E-04,,,,,,,,
1.13E-04,,,,,,,,
4.67E-05,,,,,,,,
2.27E-08,,,,,,,,
1.03E-05,,,,,,,,
2.17E-05,,,,,,,,
6.98E-05,,,,,,,,
1.29E-03,,,,,,,,
3.88E-03,,,,,,,,
1.01E-02,,,,,,,,
9.36E-02,,,,,,,,
2.59E-01,,,,,,,,
5.89E-01,,,,,,,,
1.55E+00,,,,,,,,
1.66E+00,,,,,,,,
2.53E+00,,,,,,,,
7.45E+00,,,,,,,,
1.15E+01,,,,,,,,
1.60E+01,,,,,,,,
1.91E+01,,,,,,,,
2.18E+01,,,,,,,,
2.20E+01,,,,,,,,
1.83E+01,,,,,,,,
8.93E+00,,,,,,,,
4.33E+00,,,,,,,,
5.69E+00,,,,,,,,
6.62E+00,,,,,,,,
1.06E+01,,,,,,,,
2.00E+01,,,,,,,,
2.36E+01,,,,,,,,
2.64E+01,,,,,,,,
2.58E+01,,,,,,,,
2.28E+01,,,,,,,,
1.76E+01,,,,,,,,
1.52E+01,,,,,,,,
1.66E+01,,,,,,,,
1.64E+01,,,,,,,,
1.75E+01,,,,,,,,
2.25E+01,,,,,,,,
2.46E+01,,,,,,,,
2.55E+01,,,,,,,,
2.67E+01,,,,,,,,
2.66E+01,,,,,,,,
2.65E+01,,,,,,,,
2.70E+01,,,,,,,,
2.67E+01,,,,,,,,
2.60E+01,,,,,,,,
2.57E+01,,,,,,,,
2.61E+01,,,,,,,,
2.71E+01,,,,,,,,
2.72E+01,,,,,,,,
2.70E+01,,,,,,,,
2.58E+01,,,,,,,,
2.39E+01,,,,,,,,
2.29E+01,,,,,,,,
2.31E+01,,,,,,,,
2.33E+01,,,,,,,,
2.33E+01,,,,,,,,
2.27E+01,,,,,,,,
2.17E+01,,,,,,,,
2.11E+01,,,,,,,,
2.13E+01,,,,,,,,
2.06E+01,,,,,,,,
1.98E+01,,,,,,,,
2.08E+01,,,,,,,,
2.28E+01,,,,,,,,
2.30E+01,,,,,,,,
2.31E+01,,,,,,,,
2.31E+01,,,,,,,,
2.28E+01,,,,,,,,
2.24E+01,,,,,,,,
2.19E+01,,,,,,,,
2.15E+01,,,,,,,,
2.11E+01,,,,,,,,
2.05E+01,,,,,,,,
2.00E+01,,,,,,,,
1.99E+01,,,,,,,,
1.97E+01,,,,,,,,
1.97E+01,,,,,,,,
1.97E+01,,,,,,,,
1.93E+01,,,,,,,,
1.84E+01,,,,,,,,
1.76E+01,,,,,,,,
1.72E+01,,,,,,,,
1.74E+01,,,,,,,,
1.64E+01,,,,,,,,
1.42E+01,,,,,,,,
1.35E+01,,,,,,,,
1.34E+01,,,,,,,,
1.38E+01,,,,,,,,
1.30E+01,,,,,,,,
1.22E+01,,,,,,,,
1.20E+01,,,,,,,,
1.23E+01,,,,,,,,
1.32E+01,,,,,,,,
1.39E+01,,,,,,,,
1.23E+01,,,,,,,,
1.06E+01,,,,,,,,
1.01E+01,,,,,,,,
9.36E+00,,,,,,,,
8.78E+00,,,,,,,,
9.03E+00,,,,,,,,
9.16E+00,,,,,,,,
8.88E+00,,,,,,,,
7.71E+00,,,,,,,,
6.40E+00,,,,,,,,
5.98E+00,,,,,,,,
6.72E+00,,,,,,,,
7.40E+00,,,,,,,,
7.07E+00,,,,,,,,
5.93E+00,,,,,,,,
5.15E+00,,,,,,,,
3.64E+00,,,,,,,,
3.41E+00,,,,,,,,
4.22E+00,,,,,,,,
4.32E+00,,,,,,,,
3.36E+00,,,,,,,,
2.00E+00,,,,,,,,
1.71E+00,,,,,,,,
8.74E-01,,,,,,,,
3.82E-01,,,,,,,,
2.87E-01,,,,,,,,
2.52E-01,,,,,,,,
2.28E-01,,,,,,,,
1.22E-01,,,,,,,,
2.22E-02,,,,,,,,
4.13E-03,,,,,,,,
3.98E-04,,,,,,,,
8.71E-05,,,,,,,,
6.30E-06,,,,,,,,
3.77E-07,,,,,,,,
2.17E-08,,,,,,,,
6.17E-12,,,,,,,,
6.27E-12,,,,,,,,
2.29E-13,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
0.00E+00,,,,,,,,
4.38E-11,,,,,,,,
9.76E-10,,,,,,,,
3.90E-07,,,,,,,,
4.78E-07,,,,,,,,
1.55E-06,,,,,,,,
1.79E-06,,,,,,,,
6.33E-06,,,,,,,,
2.46E-05,,,,,,,,
4.61E-05,,,,,,,,
1.94E-04,,,,,,,,
6.40E-04,,,,,,,,
2.14E-03,,,,,,,,
5.01E-03,,,,,,,,
7.69E-03,,,,,,,,
1.76E-02,,,,,,,,
2.48E-02,,,,,,,,
3.24E-02,,,,,,,,
3.71E-02,,,,,,,,
4.68E-02,,,,,,,,
6.60E-02,,,,,,,,
8.68E-02,,,,,,,,
2.16E+00,,,,,,,,
2.87E-01,,,,,,,,
3.25E-01,,,,,,,,
3.67E-01,,,,,,,,
3.18E-01,,,,,,,,
2.99E-01,,,,,,,,
3.64E-01,,,,,,,,
3.84E-01,,,,,,,,
3.66E-01,,,,,,,,
2.51E-01,,,,,,,,
1.90E-01,,,,,,,,
2.18E-01,,,,,,,,
3.45E-01,,,,,,,,
5.85E-01,,,,,,,,
8.59E-01,,,,,,,,
8.42E-01,,,,,,,,
7.69E-01,,,,,,,,
6.15E-01,,,,,,,,
5.99E-01,,,,,,,,
5.36E-01,,,,,,,,
4.64E-01,,,,,,,,
4.50E-01,,,,,,,,
3.82E-01,,,,,,,,
2.41E-01,,,,,,,,
1.94E-01,,,,,,,,
1.64E-01,,,,,,,,
1.60E-01,,,,,,,,
1.95E-01,,,,,,,,
2.33E-01,,,,,,,,
2.70E-01,,,,,,,,
2.88E-01,,,,,,,,
2.92E-01,,,,,,,,
2.23E-01,,,,,,,,
1.99E-01,,,,,,,,
1.67E-01,,,,,,,,
1.30E-01,,,,,,,,
1.35E-01,,,,,,,,
1.45E-01,,,,,,,,
1.83E-01,,,,,,,,
2.66E-01,,,,,,,,
4.34E-01,,,,,,,,
5.40E-01,,,,,,,,
6.99E-01,,,,,,,,
6.57E-01,,,,,,,,
6.73E-01,,,,,,,,
8.80E-01,,,,,,,,
1.18E+00,,,,,,,,
1.65E+00,,,,,,,,
2.06E+00,,,,,,,,
2.08E+00,,,,,,,,
1.97E+00,,,,,,,,
1.59E+00,,,,,,,,
1.15E+00,,,,,,,,
6.20E-01,,,,,,,,
2.76E-01,,,,,,,,
9.32E-02,,,,,,,,
9.30E-02,,,,,,,,
4.41E-02,,,,,,,,
3.05E-02,,,,,,,,
3.12E-02,,,,,,,,
4.98E-02,,,,,,,,
7.98E-02,,,,,,,,
1.29E-01,,,,,,,,
2.24E-01,,,,,,,,
2.99E-01,,,,,,,,
3.12E-01,,,,,,,,
3.60E-01,,,,,,,,
3.13E-01,,,,,,,,
2.73E-01,,,,,,,,
3.26E-01,,,,,,,,
4.44E-01,,,,,,,,
5.85E-01,,,,,,,,
7.53E-01,,,,,,,,
7.40E-01,,,,,,,,
6.03E-01,,,,,,,,
4.56E-01,,,,,,,,
4.68E-01,,,,,,,,
3.67E-01,,,,,,,,
2.81E-01,,,,,,,,
2.67E-01,,,,,,,,
3.53E-01,,,,,,,,
5.55E-01,,,,,,,,
7.86E-01,,,,,,,,
9.58E-01,,,,,,,,
9.83E-01,,,,,,,,
1.05E+00,,,,,,,,
1.04E+00,,,,,,,,
1.06E+00,,,,,,,,
1.20E+00,,,,,,,,
1.35E+00,,,,,,,,
1.61E+00,,,,,,,,
1.85E+00,,,,,,,,
2.13E+00,,,,,,,,
2.29E+00,,,,,,,,
2.42E+00,,,,,,,,
2.41E+00,,,,,,,,
2.45E+00,,,,,,,,
2.52E+00,,,,,,,,
2.65E+00,,,,,,,,
2.89E+00,,,,,,,,
3.01E+00,,,,,,,,
3.15E+00,,,,,,,,
3.13E+00,,,,,,,,
3.12E+00,,,,,,,,
3.11E+00,,,,,,,,
3.14E+00,,,,,,,,
3.18E+00,,,,,,,,
3.23E+00,,,,,,,,
3.22E+00,,,,,,,,
3.25E+00,,,,,,,,
3.22E+00,,,,,,,,
3.21E+00,,,,,,,,
3.21E+00,,,,,,,,
3.22E+00,,,,,,,,
3.21E+00,,,,,,,,
3.26E+00,,,,,,,,
3.28E+00,,,,,,,,
3.27E+00,,,,,,,,
3.20E+00,,,,,,,,
3.08E+00,,,,,,,,
3.07E+00,,,,,,,,
2.93E+00,,,,,,,,
2.77E+00,,,,,,,,
2.65E+00,,,,,,,,
2.61E+00,,,,,,,,
2.60E+00,,,,,,,,
2.57E+00,,,,,,,,
2.60E+00,,,,,,,,
2.61E+00,,,,,,,,
2.60E+00,,,,,,,,
2.53E+00,,,,,,,,
2.52E+00,,,,,,,,
2.53E+00,,,,,,,,
2.57E+00,,,,,,,,
2.56E+00,,,,,,,,
2.67E+00,,,,,,,,
2.79E+00,,,,,,,,
2.85E+00,,,,,,,,
2.84E+00,,,,,,,,
2.94E+00,,,,,,,,
3.03E+00,,,,,,,,
3.07E+00,,,,,,,,
3.16E+00,,,,,,,,
3.15E+00,,,,,,,,
3.20E+00,,,,,,,,
3.15E+00,,,,,,,,
3.02E+00,,,,,,,,
3.01E+00,,,,,,,,
2.77E+00,,,,,,,,
2.48E+00,,,,,,,,
2.36E+00,,,,,,,,
2.34E+00,,,,,,,,
2.46E+00,,,,,,,,
2.67E+00,,,,,,,,
2.66E+00,,,,,,,,
2.89E+00,,,,,,,,
3.05E+00,,,,,,,,
3.05E+00,,,,,,,,
3.04E+00,,,,,,,,
3.01E+00,,,,,,,,
2.98E+00,,,,,,,,
2.91E+00,,,,,,,,
2.89E+00,,,,,,,,
2.85E+00,,,,,,,,
2.82E+00,,,,,,,,
2.80E+00,,,,,,,,
2.74E+00,,,,,,,,
2.71E+00,,,,,,,,
2.69E+00,,,,,,,,
2.68E+00,,,,,,,,
2.66E+00,,,,,,,,
2.70E+00,,,,,,,,
2.69E+00,,,,,,,,
2.69E+00,,,,,,,,
2.71E+00,,,,,,,,
2.70E+00,,,,,,,,
2.75E+00,,,,,,,,
2.76E+00,,,,,,,,
2.81E+00,,,,,,,,
2.79E+00,,,,,,,,
2.84E+00,,,,,,,,
2.82E+00,,,,,,,,
2.81E+00,,,,,,,,
2.77E+00,,,,,,,,
2.72E+00,,,,,,,,
2.71E+00,,,,,,,,
2.62E+00,,,,,,,,
2.52E+00,,,,,,,,
2.51E+00,,,,,,,,
2.42E+00,,,,,,,,
2.34E+00,,,,,,,,
2.33E+00,,,,,,,,
2.32E+00,,,,,,,,
2.35E+00,,,,,,,,
2.34E+00,,,,,,,,
2.39E+00,,,,,,,,
2.41E+00,,,,,,,,
2.40E+00,,,,,,,,
2.40E+00,,,,,,,,
2.41E+00,,,,,,,,
2.40E+00,,,,,,,,
2.43E+00,,,,,,,,
2.48E+00,,,,,,,,
2.47E+00,,,,,,,,
2.52E+00,,,,,,,,
2.64E+00,,,,,,,,
2.63E+00,,,,,,,,
2.60E+00,,,,,,,,
2.59E+00,,,,,,,,
2.58E+00,,,,,,,,
2.55E+00,,,,,,,,
2.54E+00,,,,,,,,
2.49E+00,,,,,,,,
2.45E+00,,,,,,,,
2.44E+00,,,,,,,,
2.33E+00,,,,,,,,
2.32E+00,,,,,,,,
